"","recd","NetID","Brand","Age.f","Status.i","PHI.i","Status.f","PHI.f","Damage_related","HoleStatus.i","HoleStatus.f","longData"
"1",1,"J000","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"2",2,"J001","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"3",3,"J002","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"4",4,"J003","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"5",5,"J004","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"6",6,"J005","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"7",7,"J006","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"8",8,"J007","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"9",9,"J008","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"10",10,"J009","Dawaplus 2.0",6,"New",0,"Not used last night",NA,"No","New","NA-In use",1
"11",11,"J010","Dawaplus 2.0",6,"New",0,"Not used last night",NA,"No","New","NA-In use",1
"12",12,"J011","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"13",13,"J012","Dawaplus 2.0",6,"New",0,"Not in use",NA,"No","New","NA-Not in use",1
"14",14,"J013","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"15",15,"J014","Dawaplus 2.0",6,"New",0,"Not in use",NA,"No","New","NA-Not in use",1
"16",16,"J015","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"17",17,"J016","Dawaplus 2.0",6,"New",0,"Not in use",NA,"No","New","NA-Not in use",1
"18",18,"J017","Dawaplus 2.0",6,"New",0,"Not in use",NA,"No","New","NA-Not in use",1
"19",19,"J018","Dawaplus 2.0",6,"New",0,"Not in use",NA,"No","New","NA-Not in use",1
"20",20,"J019","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"21",21,"J020","Dawaplus 2.0",6,"New",0,"Used last night",0,"No","New","Undamaged-In use",0
"22",22,"J021","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"23",23,"J022","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"24",24,"J023","Dawaplus 2.0",6,"New",0,"Not in use",NA,"No","New","NA-Not in use",1
"25",27,"J026","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"26",28,"J027","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"27",29,"J028","Dawaplus 2.0",6,"New",0,"Not in use",NA,"No","New","NA-Not in use",1
"28",30,"J029","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"29",31,"J030","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"30",32,"J031","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"31",33,"J032","Dawaplus 2.0",6,"New",0,"Attrited",NA,"No","New","Attrited",0
"32",34,"J033","Dawaplus 2.0",6,"New",0,"Attrited",NA,NA,"New","Attrited",0
"33",35,"J034","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"34",36,"J035","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"35",37,"J036","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"36",38,"J037","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"37",39,"J038","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"38",40,"J039","Dawaplus 2.0",6,"New",0,"Used last night",0,"No","New","Undamaged-In use",0
"39",41,"J040","Dawaplus 2.0",6,"New",0,"Not in use",NA,"No","New","NA-Not in use",1
"40",42,"J041","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"41",43,"J042","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"42",44,"J043","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"43",45,"J044","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"44",47,"J046","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"45",48,"J047","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"46",49,"J048","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"47",50,"J049","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"48",51,"J050","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"49",52,"J051","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
"50",53,"J052","Dawaplus 2.0",6,"New",0,"Used last night",NA,"No","New","NA-In use",1
