,Country,NetCode,NetID,Brand,Status.12,Status.24,Status.6,Status.18,Status.48,Status.30,Status.42,,
407,Benin,2,2,Olyset,NA,LastNight,NA,NotLastNight,NA,NA,NA,,
1180,Benin,5,5,Olyset,Attrited,NA,NotLastNight,NA,NA,NA,NA,,
2154,Benin,9,9,Olyset,NotLastNight,NA,NA,NA,NA,NA,NA,,
14658,Benin,15,15,Olyset,NA,LastNight,NA,NA,NA,NA,NA,,
19136,Benin,21,21,Olyset,NA,Attrited,NA,NA,NA,NA,NA,,
19618,Benin,23,23,Olyset,Removed,NA,NA,NA,NA,NA,NA,,
19636,Benin,27,27,Olyset,NA,Removed,NA,NA,NA,NA,NA,,
19642,Benin,28,28,Olyset,Removed,NA,NA,NA,NA,NA,NA,,
14411,Benin,36,36,Olyset,NA,NA,NA,LastNight,NA,NA,NA,,
7301,Zambia,10101,10101,Olyset,LastNight,LastNight,NA,LastNight,NA,NotLastNight,NA,,
7959,Zambia,10102,10102,Olyset,LastNight,Attrited,NA,NotLastNight,NA,NA,NA,,
9911,Zambia,10103,10103,Olyset,LastNight,Removed,NA,LastNight,NA,NA,NA,,
7302,Zambia,10104,10104,Olyset,LastNight,LastNight,NA,LastNight,NA,NotLastNight,NA,,
9912,Zambia,10105,10105,Olyset,LastNight,NA,NA,NA,NA,NA,NA,,
7303,Zambia,10106,10106,Olyset,LastNight,LastNight,NA,NotLastNight,NA,NotLastNight,NA,,
7304,Zambia,10107,10107,Olyset,LastNight,LastNight,NA,NotLastNight,NA,NotLastNight,NA,,
9913,Zambia,10108,10108,Olyset,NotLastNight,Attrited,NA,NotLastNight,NA,NA,NA,,
9914,Zambia,10109,10109,Olyset,LastNight,Attrited,NA,LastNight,NA,NA,NA,,
9915,Zambia,10110,10110,Olyset,LastNight,NA,NA,Attrited,NA,NA,NA,,
9916,Zambia,10111,10111,Olyset,LastNight,LastNight,NA,LastNight,NA,Removed,NA,,
9917,Zambia,10112,10112,Olyset,LastNight,NA,NA,Attrited,NA,NA,NA,,
11667,Zambia,10113,10113,Olyset,NotLastNight,NA,NA,Attrited,NA,NA,NA,,
7305,Zambia,10114,10114,Olyset,NotLastNight,LastNight,NA,NotLastNight,NA,NotLastNight,NA,,
7563,Zambia,10115,10115,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
7306,Zambia,10116,10116,Olyset,LastNight,NotLastNight,NA,LastNight,NA,NotLastNight,NA,,
8000,Zambia,10117,10117,Olyset,LastNight,Removed,NA,NotLastNight,NA,NA,NA,,
9918,Zambia,10118,10118,Olyset,NotLastNight,Attrited,NA,NotLastNight,NA,NA,NA,,
11668,Zambia,10119,10119,Olyset,LastNight,LastNight,NA,LastNight,NA,Removed,NA,,
11669,Zambia,10120,10120,Olyset,LastNight,LastNight,NA,NotLastNight,NA,Removed,NA,,
7564,Zambia,10121,10121,Olyset,LastNight,LastNight,NA,LastNight,NA,NA,NA,,
9919,Zambia,10122,10122,Olyset,LastNight,LastNight,NA,LastNight,NA,Removed,NA,,
9920,Zambia,10123,10123,Olyset,LastNight,Removed,NA,LastNight,NA,NA,NA,,
7565,Zambia,10124,10124,Olyset,LastNight,LastNight,NA,LastNight,NA,NotLastNight,NA,,
9921,Zambia,10125,10125,Olyset,LastNight,LastNight,NA,LastNight,NA,Attrited,NA,,
7566,Zambia,10201,10201,Olyset,LastNight,NotLastNight,NA,NotLastNight,NA,LastNight,NA,,
7567,Zambia,10202,10202,Olyset,LastNight,LastNight,NA,NotLastNight,NA,NotLastNight,NA,,
7307,Zambia,10203,10203,Olyset,NotLastNight,NA,NA,NA,NA,NA,NA,,
9922,Zambia,10204,10204,Olyset,NotLastNight,Removed,NA,LastNight,NA,NA,NA,,
7804,Zambia,10205,10205,Olyset,NotLastNight,LastNight,NA,LastNight,NA,Attrited,NA,,
7805,Zambia,10206,10206,Olyset,LastNight,NA,NA,Attrited,NA,NA,NA,,
7806,Zambia,10207,10207,Olyset,LastNight,LastNight,NA,LastNight,NA,Removed,NA,,
7568,Zambia,10208,10208,Olyset,LastNight,NA,NA,Removed,NA,NA,NA,,
7569,Zambia,10209,10209,Olyset,LastNight,NA,NA,LastNight,NA,LastNight,NA,,
9923,Zambia,10210,10210,Olyset,LastNight,Unclear,NA,LastNight,NA,NA,NA,,
7570,Zambia,10211,10211,Olyset,LastNight,LastNight,NA,NotLastNight,NA,NotLastNight,NA,,
7571,Zambia,10212,10212,Olyset,NotLastNight,NotLastNight,NA,NotLastNight,NA,Attrited,NA,,
7572,Zambia,10213,10213,Olyset,LastNight,LastNight,NA,LastNight,NA,NA,NA,,
7807,Zambia,10214,10214,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
7573,Zambia,10215,10215,Olyset,LastNight,NotLastNight,NA,LastNight,NA,Attrited,NA,,
7808,Zambia,10216,10216,Olyset,LastNight,Attrited,NA,NotLastNight,NA,NA,NA,,
7574,Zambia,10217,10217,Olyset,NotLastNight,Removed,NA,NotLastNight,NA,NA,NA,,
7575,Zambia,10218,10218,Olyset,LastNight,NA,NA,LastNight,NA,LastNight,NA,,
7308,Zambia,10219,10219,Olyset,LastNight,LastNight,NA,NotLastNight,NA,NotLastNight,NA,,
7309,Zambia,10220,10220,Olyset,LastNight,Removed,NA,NotLastNight,NA,NA,NA,,
7310,Zambia,10221,10221,Olyset,LastNight,NotLastNight,NA,Attrited,NA,NotLastNight,NA,,
7576,Zambia,10222,10222,Olyset,LastNight,Attrited,NA,NotLastNight,NA,NA,NA,,
7577,Zambia,10223,10223,Olyset,LastNight,NotLastNight,NA,LastNight,NA,LastNight,NA,,
7578,Zambia,10224,10224,Olyset,LastNight,Attrited,NA,NotLastNight,NA,NA,NA,,
7311,Zambia,10225,10225,Olyset,LastNight,Removed,NA,NotLastNight,NA,NotLastNight,NA,,
7960,Zambia,10301,10301,Olyset,LastNight,LastNight,NA,LastNight,NA,NotLastNight,NA,,
7961,Zambia,10302,10302,Olyset,LastNight,NA,NA,Removed,NA,NA,NA,,
9924,Zambia,10303,10303,Olyset,LastNight,NA,NA,Attrited,NA,NA,NA,,
7579,Zambia,10304,10304,Olyset,LastNight,Attrited,NA,NotLastNight,NA,NA,NA,,
9925,Zambia,10305,10305,Olyset,LastNight,NotLastNight,NA,NotLastNight,NA,NotLastNight,NA,,
9926,Zambia,10306,10306,Olyset,LastNight,NA,NA,Removed,NA,NA,NA,,
7580,Zambia,10307,10307,Olyset,LastNight,Attrited,NA,NotLastNight,NA,NA,NA,,
7809,Zambia,10308,10308,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
7810,Zambia,10309,10309,Olyset,LastNight,NA,NA,Removed,NA,NA,NA,,
