"","Country","NetCode","Brand","Round","Status","PHI","Damage_related","Wash","WashFreq","Bedding","Reason","Location"
"1","Kenya","J000","Dawaplus 2.0",24,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"2","Kenya","J006","Dawaplus 2.0",30,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"3","Kenya","J006","Dawaplus 2.0",42,"Not in use",14534,"No",NA,NA,NA,"","Stored Away"
"4","Kenya","J009","Dawaplus 2.0",48,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"5","Kenya","J010","Dawaplus 2.0",42,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"6","Kenya","J011","Dawaplus 2.0",42,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"7","Kenya","J013","Dawaplus 2.0",30,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"8","Kenya","J013","Dawaplus 2.0",42,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"9","Kenya","J015","Dawaplus 2.0",24,"Not used last night",NA,"No",NA,NA,NA,"","Stored Away"
"10","Kenya","J015","Dawaplus 2.0",36,"Not in use",NA,"No",NA,NA,NA,"",""
"11","Kenya","J016","Dawaplus 2.0",24,"Not used last night",NA,"No",NA,NA,NA,"","Stored Away"
"12","Kenya","J016","Dawaplus 2.0",36,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"13","Kenya","J017","Dawaplus 2.0",24,"Not used last night",NA,"No",NA,NA,NA,"","Stored Away"
"14","Kenya","J017","Dawaplus 2.0",36,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"15","Kenya","J018","Dawaplus 2.0",24,"Not used last night",NA,"No",NA,NA,NA,"","Stored Away"
"16","Kenya","J018","Dawaplus 2.0",36,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"17","Kenya","J021","Dawaplus 2.0",18,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"18","Kenya","J023","Dawaplus 2.0",36,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"19","Kenya","J024","Dawaplus 2.0",36,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"20","Kenya","J032","Dawaplus 2.0",24,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"21","Kenya","J033","Dawaplus 2.0",24,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"22","Kenya","J035","Dawaplus 2.0",42,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"23","Kenya","J037","Dawaplus 2.0",30,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"24","Kenya","J040","Dawaplus 2.0",18,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"25","Kenya","J040","Dawaplus 2.0",24,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"26","Kenya","J040","Dawaplus 2.0",30,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"27","Kenya","J040","Dawaplus 2.0",42,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"28","Kenya","J045","Dawaplus 2.0",18,"Not used last night",NA,"No",NA,NA,NA,"","Stored Away"
"29","Kenya","J045","Dawaplus 2.0",24,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"30","Kenya","J045","Dawaplus 2.0",30,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"31","Kenya","J045","Dawaplus 2.0",36,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"32","Kenya","J049","Dawaplus 2.0",36,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"33","Kenya","J051","Dawaplus 2.0",30,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"34","Kenya","J053","Dawaplus 2.0",36,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"35","Kenya","J055","Dawaplus 2.0",42,"Not in use",9468,"No",NA,NA,NA,"","Stored Away"
"36","Kenya","J060","Dawaplus 2.0",30,"Not in use",NA,"No",NA,NA,NA,"","Stored Away"
"37","Kenya","J060","Dawaplus 2.0",36,"Not in use",1151,"No",NA,NA,NA,"","Stored Away"
"38","Kenya","J063","Dawaplus 2.0",36,"Not in use",49,"No",NA,NA,NA,"","Stored Away"
