recd,NetID,Brand,Age.f,Status.i,PHI.i,Status.f,PHI.f,Damage_related
1,J000,Dawaplus 2.0,6,New,0,Used last night,NA,No
2,J001,Dawaplus 2.0,6,New,0,Used last night,NA,No
3,J002,Dawaplus 2.0,6,New,0,Used last night,NA,No
4,J003,Dawaplus 2.0,6,New,0,Used last night,NA,No
5,J004,Dawaplus 2.0,6,New,0,Used last night,NA,No
6,J005,Dawaplus 2.0,6,New,0,Used last night,NA,No
7,J006,Dawaplus 2.0,6,New,0,Used last night,NA,No
8,J007,Dawaplus 2.0,6,New,0,Used last night,NA,No
9,J008,Dawaplus 2.0,6,New,0,Used last night,NA,No
10,J009,Dawaplus 2.0,6,New,0,Not used last night,NA,No
11,J010,Dawaplus 2.0,6,New,0,Not used last night,NA,No
12,J011,Dawaplus 2.0,6,New,0,Used last night,NA,No
13,J012,Dawaplus 2.0,6,New,0,Not in use,NA,No
14,J013,Dawaplus 2.0,6,New,0,Used last night,NA,No
15,J014,Dawaplus 2.0,6,New,0,Not in use,NA,No
16,J015,Dawaplus 2.0,6,New,0,Used last night,NA,No
17,J016,Dawaplus 2.0,6,New,0,Not in use,NA,No
18,J017,Dawaplus 2.0,6,New,0,Not in use,NA,No
19,J018,Dawaplus 2.0,6,New,0,Not in use,NA,No
20,J019,Dawaplus 2.0,6,New,0,Used last night,NA,No
21,J020,Dawaplus 2.0,6,New,0,Used last night,0,No
22,J021,Dawaplus 2.0,6,New,0,Used last night,NA,No
23,J022,Dawaplus 2.0,6,New,0,Used last night,NA,No
24,J023,Dawaplus 2.0,6,New,0,Not in use,NA,No
27,J026,Dawaplus 2.0,6,New,0,Used last night,NA,No
28,J027,Dawaplus 2.0,6,New,0,Used last night,NA,No
29,J028,Dawaplus 2.0,6,New,0,Not in use,NA,No
30,J029,Dawaplus 2.0,6,New,0,Used last night,NA,No
31,J030,Dawaplus 2.0,6,New,0,Used last night,NA,No
32,J031,Dawaplus 2.0,6,New,0,Used last night,NA,No
33,J032,Dawaplus 2.0,6,New,0,Attrited,NA,No
34,J033,Dawaplus 2.0,6,New,0,Attrited,NA,NA
35,J034,Dawaplus 2.0,6,New,0,Used last night,NA,No
36,J035,Dawaplus 2.0,6,New,0,Used last night,NA,No
37,J036,Dawaplus 2.0,6,New,0,Used last night,NA,No
38,J037,Dawaplus 2.0,6,New,0,Used last night,NA,No
39,J038,Dawaplus 2.0,6,New,0,Used last night,NA,No
40,J039,Dawaplus 2.0,6,New,0,Used last night,0,No
41,J040,Dawaplus 2.0,6,New,0,Not in use,NA,No
42,J041,Dawaplus 2.0,6,New,0,Used last night,NA,No
43,J042,Dawaplus 2.0,6,New,0,Used last night,NA,No
44,J043,Dawaplus 2.0,6,New,0,Used last night,NA,No
45,J044,Dawaplus 2.0,6,New,0,Used last night,NA,No
47,J046,Dawaplus 2.0,6,New,0,Used last night,NA,No
48,J047,Dawaplus 2.0,6,New,0,Used last night,NA,No
49,J048,Dawaplus 2.0,6,New,0,Used last night,NA,No
50,J049,Dawaplus 2.0,6,New,0,Used last night,NA,No
51,J050,Dawaplus 2.0,6,New,0,Used last night,NA,No
52,J051,Dawaplus 2.0,6,New,0,Used last night,NA,No
53,J052,Dawaplus 2.0,6,New,0,Used last night,NA,No
54,J053,Dawaplus 2.0,6,New,0,Used last night,NA,No
55,J054,Dawaplus 2.0,6,New,0,Used last night,NA,No
56,J055,Dawaplus 2.0,6,New,0,Used last night,NA,No
57,J056,Dawaplus 2.0,6,New,0,Used last night,NA,No
58,J057,Dawaplus 2.0,6,New,0,Used last night,NA,No
59,J058,Dawaplus 2.0,6,New,0,Used last night,NA,No
60,J059,Dawaplus 2.0,6,New,0,Not in use,NA,No
61,J060,Dawaplus 2.0,6,New,0,Used last night,NA,No
62,J061,Dawaplus 2.0,6,New,0,Used last night,NA,No
63,J062,Dawaplus 2.0,6,New,0,Not in use,NA,No
64,J063,Dawaplus 2.0,6,New,0,Used last night,NA,No
65,J064,Dawaplus 2.0,6,New,0,Used last night,NA,No
66,J065,Dawaplus 2.0,6,New,0,Used last night,NA,No
67,J066,Dawaplus 2.0,6,New,0,Used last night,NA,No
68,J067,Dawaplus 2.0,6,New,0,Used last night,NA,No
69,J068,Dawaplus 2.0,6,New,0,Used last night,NA,No
